Word,Valence Mean,Arousal Mean,Dominance Mean
惶,3.4,6.4,
愉,5.8,5.2,
提防,4.6,6.0,
散漫,3.4,4.0,
景仰,6.8,5.8,
智慧,7.4,4.0,
最好,6.8,6.2,
最佳,7.2,6.4,
期盼,6.2,6.0,
棒,6.8,5.8,
棘手,3.4,6.2,
欺,3.2,6.2,
欽佩,7.2,5.8,
殘忍,2.0,7.8,
殘酷,1.8,8.2,
殘暴,1.6,8.8,
渴求,5.0,6.8,
渴望,5.6,5.8,
無用,3.6,4.4,
無助,3.4,4.8,
無味,4.4,3.2,
無奈,3.6,4.2,
無知,3.6,4.4,
無畏,6.6,6.4,
無害,5.6,4.2,
無效,4.2,4.4,
無益,3.8,3.8,
無能,3.0,6.0,
無常,3.6,4.2,
無望,2.8,4.8,
無聊,3.8,3.4,
無辜,4.4,4.0,
無意義,4.2,4.0,
無精打采,3.6,3.4,
無憂無慮,7.0,3.6,
無關緊要,4.6,3.4,
無懼,5.8,5.8,
焦急,3.0,7.0,
焦慮,3.2,6.4,
猶疑,4.0,5.2,
猶豫,4.2,4.8,
痛,3.0,6.2,
痛不欲生,1.8,8.4,
痛苦,2.4,6.8,
痛哭流涕,1.8,8.0,
發抖,3.4,6.2,
發牢騷,3.6,6.0,
發狂,2.6,7.8,
發怒,2.4,8.0,
發臭,3.2,5.8,
發愁,3.0,6.2,
盜,3.0,5.8,
結巴,4.0,4.6,
絕妙,6.8,6.8,
絕望,2.2,6.0,
脾氣,4.8,4.4,
舒服,6.6,3.6,
舒適,6.8,3.6,
華麗,6.8,5.6,
著迷,5.6,7.0,
虛心,6.2,2.6,
虛弱,3.0,3.4,
虛榮,3.0,6.2,
虛榮心,3.0,6.0,
訴苦,3.2,6.6,
詐騙,2.6,7.0,
費力,3.4,6.2,
跛,3.2,5.0,
跛腳,3.2,5.2,
鈍,3.8,2.6,
開心,7.2,6.6,
開明,7.0,5.0,
開朗,7.2,5.4,
閒散,4.6,2.2,
陽光,7.2,5.0,
隆重,6.6,7.0,
雅緻,6.8,4.4,
順利,7.0,5.0,
亂,3.6,5.8,
傲慢,2.8,6.0,
傳情,6.4,5.4,
債務,3.0,5.2,
傷,3.4,5.2,
傷人,3.2,6.8,
傷亡,2.2,7.4,
傷天害理,1.4,8.0,
傷心,3.0,6.2,
傷害,2.8,6.6,
傷神,3.4,5.6,
傷痕,3.6,5.0,
傷悲,3.0,6.0,
傷殘,2.8,5.8,
傷痛,3.0,6.6,
傷勢,3.4,4.6,
傷感,3.4,5.2,
傻,3.6,4.0,
傻子,3.6,4.2,
傻笑,4.0,5.4,
勢利,3.2,5.4,
嗚咽,2.6,5.6,
嫉,3.0,6.2,
嫌,3.0,5.8,
徬徨,4.0,4.4,
微笑,6.4,4.6,
微醺,5.8,5.2,
想念,4.8,5.4,
惹惱,3.0,7.2,
愁,3.4,4.8,
愚笨,3.2,4.0,
愛心,7.0,4.6,
愛情,7.0,5.8,
愛慕,6.8,6.2,
愛護,7.0,5.4,
感恩,7.2,4.8,
感情,5.4,5.2,
感傷,3.8,5.4,
感激,6.8,7.2,
愧,3.4,6.2,
慈祥,7.0,4.2,
慈善,7.0,4.6,
慈悲,5.6,5.0,
慌,3.2,6.8,
損人,3.0,6.2,
損害,2.8,6.4,
損傷,2.8,6.8,
損壞,2.6,7.2,
搏鬥,3.2,7.2,
敬畏,6.8,6.4,
敬重,7.0,6.0,
敬意,6.6,4.8,
暖和,6.4,4.0,
業障,3.0,5.8,
極好,7.8,7.8,
極端,4.4,7.0,
極樂,6.8,6.6,
毀掉,2.8,6.6,
毀敗,2.8,6.4,
毀棄,2.8,6.6,
毀傷,2.6,6.4,
毀損,2.8,6.2,
毀滅,2.8,7.6,
毀謗,2.6,7.4,
毀壞,3.2,5.8,
溫和,6.0,3.6,
溫柔,6.6,4.2,
溫情,6.6,4.8,
溫暖,7.2,4.2,
溫馨,7.4,4.0,
滑稽,4.2,5.0,
煩,3.4,5.4,
煩人,3.4,6.2,
煩心,3.2,6.0,
煩忙,3.2,6.2,
煩勞,3.2,5.8,
煩悶,3.0,5.8,
煩惱,3.0,6.2,
煩亂,3.0,7.2,
煩愁,2.8,6.8,
煩瑣,3.6,5.6,
煩擾,3.4,6.0,
煩雜,3.4,6.0,
煩躁,3.2,7.6,
痴狂,4.0,7.6,
禁止,3.4,5.2,
禁忌,3.0,5.2,
罪,3.0,5.4,
罪人,2.8,6.0,
罪大惡極,1.4,8.8,
罪犯,2.6,6.0,
罪名,2.6,5.2,
罪行,2.4,6.0,
罪惡,2.2,7.0,
罪過,2.6,6.4,
罪孽,2.0,7.6,
羨慕,6.0,5.6,
義,6.4,6.0,
義憤,3.2,7.6,
萬念俱灰,1.4,7.4,
萬歲,7.6,7.6,
落伍,3.6,4.2,
落空,3.4,5.8,
解決,6.2,4.8,
解脫,6.2,6.0,
詫異,4.2,6.8,
詭計,3.4,5.2,
詼諧,6.4,4.6,
誇大,3.6,5.0,
誠,6.8,4.8,
誠心,7.0,4.6,
誠實,7.2,4.8,
賊,2.6,6.0,
躲避,3.6,4.8,
遇難,2.0,6.4,
過失,3.0,5.4,
過錯,3.2,5.0,
違心,3.0,5.2,
違犯,3.0,5.2,
違抗,2.8,6.8,
違法,2.4,6.6,
違紀,2.6,5.6,
違約,2.8,5.6,
違背,3.0,4.8,
違規,3.4,5.2,
頑固,3.2,6.4,
頑強,5.0,6.2,
鼓舞,6.6,6.8,
厭世,2.2,6.6,
厭食,2.8,5.2,
厭倦,3.2,4.2,
厭惡,2.6,7.2,
厭煩,3.0,5.6,
嘆,4.0,3.6,
嘆息,3.4,3.8,
嘆氣,3.2,4.0,
嫩,5.2,4.4,
寧靜,6.2,1.6,
對抗,4.0,7.2,
對質,3.8,7.0,
慘,2.8,5.0,
慢,4.4,2.8,
慷慨,6.8,5.8,
摧毀,2.8,7.2,
榮幸,6.8,5.4,
榮耀,7.6,7.0,
榮譽,7.6,5.8,
滿足,7.4,4.6,
滿意,7.2,5.6,
漂亮,7.2,6.0,
漫不經心,3.2,3.4,
瑣事,3.8,4.6,
瑣碎,3.8,4.6,
疑心,3.2,5.4,
疑神,3.8,5.6,
疑惑,3.8,4.8,
疑慮,3.6,5.0,
疑點,3.8,4.2,
疑難,3.8,4.4,
疑懼,3.8,6.2,
瘋,2.6,7.8,
禍,3.2,6.0,
福氣,7.0,4.4,
精力,5.4,4.0,
精心,6.2,4.6,
精美,6.4,4.2,
精疲力盡,3.0,5.2,
精疲力竭,3.0,5.4,
精彩,7.6,7.6,
緊張,3.6,7.0,
緊繃,3.8,7.2,
腐朽,2.8,4.0,
腐臭,3.0,4.4,
腐敗,2.4,5.6,
腐爛,2.6,4.8,
認可,5.8,4.0,
誤,3.6,4.0,
誤會,3.2,5.4,
誤解,3.4,5.6,
說謊,2.6,5.4,
豪爽,7.2,6.8,
豪華,6.8,5.8,
輕快,6.2,4.8,
輕忽,3.8,5.2,
輕視,3.2,5.6,
輕蔑,2.6,6.8,
輕鬆,6.0,2.2,
遠離,4.4,3.8,
鄙,2.8,6.2,
酷刑,2.0,8.2,
酷愛,8.0,7.2,
酸,4.6,4.8,
酸甜苦辣,4.8,5.2,
銘印,5.8,6.2,
骯髒,3.2,4.6,
鼻酸,3.4,6.4,
僵化,3.8,4.0,
僵住,3.8,3.6,
僵冷,3.6,3.4,
僵局,3.8,4.2,
僵持,3.4,5.6,
僵硬,3.4,5.4,
劇烈,4.6,8.2,
嘮叨,3.8,5.8,
噁,2.4,6.0,
噁心,2.2,6.8,
墮落,2.4,6.2,
嫵媚,6.6,5.6,
嬉笑,5.8,5.6,
嬌弱,3.8,3.4,
寬大,6.2,4.2,
寬容,7.0,3.2,
德行,6.6,3.2,
慶功,7.0,7.2,
慶生,6.4,6.4,
慶幸,6.4,6.0,
慶賀,7.0,6.0,
憂心,3.6,6.0,
憂患,3.2,5.4,
憂勞,3.6,5.6,
憂傷,3.0,5.6,
憂愁,2.8,5.4,
憂煩,3.0,5.4,
憂慮,2.8,6.2,
憂鬱,2.4,4.8,
憎,2.2,6.8,
憐惜,4.6,4.8,
憤,2.6,7.6,
摯情,7.2,5.4,
摯愛,7.8,6.2,
摯誠,7.6,6.0,
撒謊,3.2,5.2,
撫育,6.0,3.8,
敵視,3.0,6.6,
敵意,3.4,6.4,
敵對,2.8,7.0,
暴力,2.2,7.8,
暴怒,1.8,8.4,
暴躁,2.8,8.0,
樂,6.6,5.6,
樂子,6.2,4.2,
樂不,5.2,4.4,
樂天,6.8,4.6,
樂在其中,7.0,5.6,
樂此,6.4,5.0,
樂而,6.2,4.4,
樂得,6.2,4.4,
樂善,6.4,4.4,
樂園,6.4,5.4,
樂極生悲,2.8,6.8,
樂趣,6.4,5.0,
樂觀,7.0,5.0,
歎為觀止,6.6,7.6,
毅然,5.8,6.4,
潔淨,6.2,4.6,
熱切,6.2,6.4,
熱烈,6.4,7.6,
熱衷,6.4,6.4,
熱情,6.6,6.4,
熱望,6.2,6.0,
熱淚盈眶,5.0,7.6,
熱鬧,6.4,6.6,
獎,6.8,5.2,
獎助,7.0,5.2,
獎杯,7.4,5.4,
獎狀,7.4,5.2,
獎金,7.6,5.6,
獎品,7.4,5.6,
獎章,6.8,5.0,
獎牌,6.8,5.2,
獎賞,6.6,5.4,
獎學金,7.4,5.6,
獎勵,7.0,5.2,
確定,6.2,5.2,
確信,6.2,5.4,
窮,3.6,4.0,
窮困,3.0,4.2,
糊塗,3.8,3.6,
緩和,5.2,3.2,
蔑視,2.6,6.6,
衝突,3.4,6.8,
衝擊,3.2,7.2,
調皮,5.0,4.8,
調戲,3.6,6.2,
賤民,2.2,7.6,
賤骨頭,1.8,7.8,
質疑,3.6,5.6,
輝煌,7.0,6.2,
適宜,6.4,5.0,
適時,6.2,5.0,
適當,6.2,4.6,
遭受,3.6,5.8,
鋌而走險,3.0,7.0,
震怒,2.4,8.2,
震顫,3.2,7.4,
震驚,3.6,7.4,
霉運,2.8,5.4,
養育,6.2,4.0,
魄力,7.0,6.2,
魅力,7.2,5.6,
懊悔,3.4,6.4,
懊惱,3.2,7.0,
戰火,3.0,6.8,
戰爭,3.0,7.2,
戰鬥,3.0,7.0,
戰勝,7.4,7.4,
戰亂,3.0,7.2,
擁抱,6.4,5.6,
擁護,6.4,6.0,
擅長,6.2,5.0,
操心,3.8,5.6,
操守,5.2,3.8,
操勞,3.6,5.2,
擔保,5.0,4.8,
擔憂,3.6,4.8,
整齊,6.6,4.2,
整潔,6.8,4.2,
機敏,7.0,5.6,
機警,7.0,6.4,
機靈,7.0,6.0,
激怒,2.6,7.8,
激動,4.8,7.8,
激情,5.4,7.4,
激勵,7.2,6.8,
獨自,4.2,3.2,
獨創,6.2,4.2,
瘸,3.4,3.6,
積極,6.6,6.6,
罹難,1.8,7.0,
膩,3.6,4.0,
興旺,6.8,5.6,
興致,6.2,6.0,
興趣,6.6,5.4,
興奮,7.4,7.2,
融洽,7.4,5.0,
褫奪,2.6,7.4,
親,6.6,5.8,
親吻,7.2,7.4,
親和,7.0,4.4,
親密,7.6,6.2,
諷刺,3.0,6.8,
諾言,6.8,5.8,
謀殺,1.6,7.8,
踴躍,6.8,6.8,
蹂躪,2.2,7.6,
輸家,3.0,5.0,
輸掉,3.4,5.2,
遲到,3.8,5.0,
遲鈍,3.6,3.6,
遲疑,3.6,4.8,
遺棄,2.8,5.8,
遺憾,2.6,4.8,
錯,3.0,4.8,
錯亂,3.0,6.2,
錯誤,3.2,5.6,
頭昏,3.2,4.6,
默哀,2.2,4.2,
優,6.8,5.4,
優秀,7.6,6.6,
優良,7.6,6.2,
優柔寡斷,3.2,4.6,
優美,6.8,5.4,
優勝,7.6,6.8,
優惠,6.8,6.2,
優雅,6.8,5.0,
優勢,6.8,6.0,
優點,7.0,5.0,
嚇,3.6,6.8,
壓力,2.6,6.8,
壓抑,2.6,5.4,
壓制,3.6,6.0,
壓迫,2.8,7.2,
尷尬,3.8,4.6,
懦,3.2,4.2,
擊,4.8,6.6,
擊敗,6.0,6.8,
濫用,3.0,5.6,
濫情,3.0,6.2,
燦爛,6.6,6.4,
獲勝,7.8,7.2,
獲獎,7.8,7.0,
瞧不起,3.2,6.2,
糟,3.4,4.4,
糟糕,3.2,5.2,
糟蹋,2.4,7.2,
繁瑣,3.8,5.0,
繃緊,4.2,7.2,
聰明,7.0,4.8,
膽小,3.6,4.6,
膽怯,3.2,5.2,
膽量,5.4,4.6,
膽戰心驚,2.8,7.6,
艱困,3.2,6.6,
艱辛,3.0,6.4,
艱苦,3.0,6.6,
艱深,3.4,6.4,
艱鉅,3.2,7.2,
艱險,3.0,7.8,
艱澀,3.2,7.2,
艱難,3.2,7.2,
虧損,3.2,5.6,
褻瀆,2.4,7.6,
謝天謝地,7.4,7.4,
謝意,6.2,6.0,
醜,3.6,3.8,
鮮明,6.4,5.4,
鮮美,6.2,5.4,
嚮往,6.0,5.0,
簡潔,6.2,4.8,
謹慎,6.4,4.2,
蹧蹋,2.6,7.2,
鎮定,5.4,2.8,
鎮靜,5.4,1.8,
鎮壓,3.0,7.0,
雜亂,3.6,5.6,
鬆懈,3.6,4.2,
壞人,3.4,5.4,
壞心,3.4,6.0,
壞死,2.8,5.0,
壞事,3.4,5.2,
壞處,3.4,5.0,
壞話,3.4,5.0,
壞運,3.0,5.6,
寵愛,6.8,5.6,
懲罰,3.4,6.2,
懶惰,3.4,4.0,
懶散,3.6,3.0,
懷鄉,5.0,4.6,
爆發,4.2,7.6,
癡迷,3.8,6.8,
穩健,7.0,5.2,
贊同,7.0,5.0,
辭職,4.0,4.8,
難吃,3.4,5.8,
難堪,3.0,6.4,
難過,3.0,5.6,
難聞,3.6,5.6,
難熬,2.6,7.2,
難題,3.6,5.2,
願,6.0,5.0,
騙,3.4,6.0,
嚴重,3.2,7.0,
嚴峻,3.0,7.6,
嚴格,3.8,6.8,
嚴酷,2.8,7.6,
嚴厲,3.8,7.4,
寶貴,7.0,5.0,
競爭,5.0,6.6,
耀眼,6.6,6.4,
觸目驚心,2.6,8.0,
觸怒,2.8,7.4,
觸景傷情,2.8,6.2,
贏取,6.4,6.0,
贏錢,6.6,6.2,
騷動,4.0,6.6,
騷擾,3.4,6.0,
懼怕,2.6,7.2,
爛,2.8,5.6,
犧牲,3.6,6.6,
纏身,3.6,6.2,
纏訟,3.6,5.6,
纏綿,6.8,6.6,
蠢,3.0,5.2,
護,6.0,4.4,
躊躇,4.2,4.8,
顧慮,4.2,4.6,
歡天喜地,8.2,7.8,
歡心,7.2,6.6,
歡呼,7.2,7.2,
歡欣,7.2,7.0,
歡笑,7.4,6.8,
歡喜,7.4,6.8,
歡愉,6.6,6.8,
歡樂,7.2,6.8,
歡聲,7.2,6.2,
歡歡喜喜,8.0,6.8,
顫抖,3.2,6.8,
驕傲,4.8,6.4,
髒,3.2,4.6,
攪亂,3.0,6.6,
變味,3.4,5.2,
變動,4.8,6.0,
變質,3.4,5.0,
驚,4.8,7.0,
驚人,4.8,7.6,
驚心,4.6,7.6,
驚呆,4.4,7.8,
驚奇,6.2,7.4,
驚怕,3.6,7.0,
驚恐,2.8,7.8,
驚悚,2.8,7.8,
驚異,3.8,7.2,
驚訝,5.0,7.2,
驚喜,7.2,7.4,
驚愕,3.6,7.4,
驚慌,3.2,7.6,
驚嘆,5.4,7.6,
驚疑,4.0,7.2,
驚歎,5.0,7.6,
驚險,4.0,7.6,
驚駭,3.2,7.8,
驚嚇,3.0,7.8,
驚擾,3.4,6.8,
體面,6.4,5.4,
體貼,7.0,5.6,
體會,6.4,4.4,
體諒,6.6,4.8,
靈巧,7.2,4.8,
靈活,6.8,4.2,
靈敏,6.6,4.2,
靈感,6.2,4.2,
齷齪,2.2,8.0,
讚,7.6,5.6,
讚不絕口,8.2,8.0,
讚佩,7.8,7.0,
讚嘆,7.6,7.2,
讚歎,7.6,7.2,
讚賞,7.8,6.8,
鬱,3.0,4.8,
貪污,1.8,7.6,
進行,5.4,3.4,
舉行,5.6,3.8,
發展,6.2,4.2,
參加,5.4,4.2,
增加,5.8,4.0,
合作,6.4,4.2,
接受,5.6,3.6,
成為,5.4,3.8,
完成,6.4,5.0,
獲得,6.2,4.2,
通過,6.4,4.4,
特別,5.8,4.2,
瞭解,5.6,3.6,
重要,6.0,5.6,
建設,6.2,3.8,
管理,5.4,3.2,
改革,6.2,5.4,
開放,6.2,4.6,
成長,6.8,4.8,
正式,5.4,4.2,
準備,5.0,3.8,
開發,5.8,4.6,
說明,4.8,3.4,
聯合,5.0,4.0,
經營,5.8,4.0,
機會,6.2,4.4,
生產,5.8,4.0,
專家,6.2,4.2,
努力,6.8,5.8,
注意,5.6,4.6,
達成,6.4,5.0,
負責,6.0,4.2,
資源,5.4,2.8,
公開,5.4,3.8,
穩定,6.0,3.4,
提高,5.8,5.0,
能力,5.6,3.2,
達到,5.8,5.0,
法律,4.6,3.6,
重視,5.6,5.6,
協調,5.0,4.2,
全面,5.0,3.6,
考慮,4.6,3.8,
健康,6.0,4.0,
實際,5.0,3.2,
全力,5.8,5.4,
擁有,5.6,4.2,
必要,5.0,5.4,
經驗,5.6,3.2,
促進,6.2,5.4,
藝術,5.6,2.8,
獨立,5.6,3.4,
訓練,5.2,4.2,
提升,6.0,4.8,
衛生,5.8,3.2,
明顯,5.6,3.8,
知道,5.4,3.2,
符合,6.0,3.4,
堅持,6.2,5.2,
給予,5.8,4.2,
正常,5.8,3.4,
權益,5.2,3.8,
地位,5.4,3.8,
很多,5.6,4.2,
音樂,5.2,3.0,
良好,6.8,4.2,
承認,5.0,3.8,
高級,6.2,4.4,
學習,5.6,3.8,
福利,6.6,4.0,
自然,5.2,3.4,
通知,5.0,3.4,
明確,6.2,3.4,
真正,5.4,3.6,
確實,5.4,3.6,
公平,5.8,4.0,
充分,5.8,4.4,
得到,5.6,4.0,
規範,5.4,3.4,
一致,5.2,3.6,
合理,5.8,3.6,
支援,5.6,4.2,
主動,5.8,5.0,
掌握,5.2,4.2,
紀念,5.6,3.0,
容易,5.6,3.2,
領先,6.4,5.0,
安定,5.6,3.2,
財產,5.2,2.4,
合法,5.8,3.4,
實現,5.8,4.0,
獲利,6.6,4.6,
防止,4.8,5.0,
創造,6.2,4.4,
迅速,5.8,4.8,
進步,6.6,4.8,
秩序,5.6,3.4,
當然,5.2,4.0,
正確,6.4,4.2,
推薦,6.2,4.4,
特色,5.6,3.2,
實在,5.4,3.4,
澄清,4.4,4.0,
繁榮,6.6,4.0,
時機,5.2,3.2,
解除,4.8,3.4,
批准,5.4,3.2,
認同,6.4,4.6,
完整,5.8,3.4,
夥伴,5.4,3.2,
贊成,6.2,4.6,
期待,6.2,5.6,
增進,5.8,4.4,
著名,6.0,3.6,
表揚,6.0,4.6,
遵守,5.2,3.0,
創新,6.2,4.6,
享有,5.4,3.6,
平衡,5.4,2.8,
詳細,5.4,3.2,
許可,5.4,3.2,
方便,6.0,3.8,
自動,5.4,2.8,
友好,6.2,4.4,
合格,6.4,4.0,
健全,6.2,3.8,
固定,5.2,2.8,
學會,6.0,3.4,
審慎,5.6,3.8,
實行,5.2,3.6,
信用,6.0,3.8,
傑出,7.4,5.0,
的確,5.2,3.0,
義務,5.0,3.2,
思考,5.4,3.4,
黃金,5.6,3.2,
促成,5.8,4.4,
習慣,5.0,3.0,
毫無,4.2,3.2,
專門,5.2,3.6,
顯著,5.4,4.4,
慰問,4.2,4.4,
清理,4.8,4.2,
請求,4.6,4.2,
重要性,5.0,5.0,
平等,5.8,3.4,
務實,6.0,3.6,
正義,6.4,4.8,
消除,4.0,4.4,
清除,4.0,4.4,
休息,5.2,2.8,
成熟,5.8,3.2,
理性,5.6,3.2,
強大,6.2,5.4,
減輕,5.2,3.8,
革命,5.0,6.2,
法定,5.0,3.6,
贊助,6.0,4.2,
明白,5.0,3.8,
可行,5.6,4.0,
公正,6.6,4.2,
福祉,6.2,3.4,
克服,5.2,5.4,
助益,6.2,4.4,
道德,5.6,3.4,
圓滿,6.4,4.4,
適應,5.2,4.0,
奪得,5.2,5.6,
生效,5.6,3.8,
期許,5.8,4.6,
便利,6.0,3.4,
熟悉,5.4,4.0,
正當,6.2,4.0,
履行,5.2,3.8,
凝聚,5.6,3.6,
革新,6.2,5.4,
友誼,6.4,4.0,
奮鬥,6.6,5.8,
自主,5.6,4.2,
巨大,5.2,4.8,
開拓,5.6,4.6,
過關,6.0,5.0,
營養,5.4,3.0,
適度,5.2,3.0,
罕見,5.2,4.2,
天然,5.6,3.6,
首位,5.8,3.4,
讓步,4.6,3.6,
深刻,5.4,4.6,
得獎,7.0,5.8,
致意,5.2,4.2,
名譽,6.2,4.2,
愛國,6.8,5.8,
中和,5.4,2.8,
嚴密,4.8,4.8,
突出,5.6,5.0,
理解,5.8,4.2,
前進,6.0,4.2,
聲望,6.0,3.8,
慎重,5.6,3.8,
熱心,6.4,5.2,
推進,5.2,4.8,
愉快,7.0,4.8,
技巧,5.2,3.2,
允諾,5.4,3.8,
感動,6.2,4.8,
良性,6.4,4.0,
清潔,5.2,3.6,
便宜,6.0,3.0,
想像,5.2,3.6,
蓬勃,6.0,5.2,
資助,5.4,3.8,
警覺,4.6,4.4,
發達,6.0,5.0,
無罪,5.4,4.0,
均衡,5.2,3.0,
分工,5.2,3.2,
精密,5.6,3.6,
卓越,6.6,4.6,
充份,5.6,4.0,
職責,5.0,3.2,
自願,5.0,3.8,
輔助,5.2,3.6,
倫理,5.2,3.0,
互惠,6.4,4.0,
平息,4.8,3.8,
及格,6.0,4.0,
創立,5.4,3.4,
節約,5.4,3.4,
財富,5.6,3.4,
建設性,5.8,3.4,
互利,5.8,3.8,
切實,5.2,3.6,
招待,5.4,4.2,
效能,5.4,3.8,
諒解,4.8,4.0,
開採,5.2,3.8,
生育,5.2,4.4,
美化,6.0,4.2,
夢想,6.2,4.6,
優質,7.2,4.4,
獨特,6.4,4.2,
留意,4.8,3.6,
無疑,5.0,3.2,
理會,5.0,3.4,
約定,5.2,4.0,
締造,5.4,4.6,
賺錢,5.6,4.6,
充裕,6.2,4.0,
通用,5.2,3.4,
合乎,5.2,3.2,
毫不,4.4,3.8,
簡易,5.6,3.2,
絕無,4.6,3.8,
精緻,6.0,3.4,
光明,6.6,3.8,
好事,6.6,3.8,
注目,5.2,3.8,
免除,5.0,4.0,
穩固,5.8,3.8,
保密,5.2,3.6,
樂見,6.0,4.6,
道理,5.2,3.2,
改良,5.6,4.2,
新鮮,6.0,3.8,
透明,5.0,3.0,
古典,5.2,2.8,
趣味,5.8,4.2,
集資,5.2,4.0,
專屬,5.6,3.6,
敬佩,6.2,4.6,
友善,6.6,4.0,
人性,5.0,2.8,
合適,5.6,3.2,
天使,6.6,3.8,
一流,6.8,4.6,
助長,5.4,4.6,
嚴謹,5.2,4.2,
吸引力,5.4,3.6,
優於,5.4,4.4,
互助,5.8,3.6,
深切,5.0,4.0,
好奇,5.0,4.2,
衛冕,6.0,5.0,
守法,5.8,3.6,
充足,5.6,4.0,
嶄新,6.4,5.0,
不遺餘力,6.2,5.6,
特大,5.4,5.2,
才藝,5.8,3.4,
誠摯,6.4,4.2,
準確,5.8,3.6,
妥當,5.4,3.4,
加薪,6.2,4.6,
發覺,5.0,3.0,
熱忱,6.0,4.8,
補足,5.2,3.4,
節制,5.0,3.6,
暢談,5.8,5.4,
鼓掌,6.2,5.4,
在意,5.0,3.8,
精確,5.8,3.8,
矯正,4.8,4.0,
聲譽,5.4,4.2,
無比,5.4,3.2,
無異議,5.2,3.0,
去除,4.8,3.4,
實用,5.6,3.8,
誠懇,6.6,4.0,
協力,5.8,3.6,
發育,5.6,3.6,
捐獻,6.4,4.6,
熱誠,6.6,5.2,
良心,6.0,3.4,
由衷,5.0,3.8,
清晰,5.4,3.6,
奪冠,7.0,5.8,
合法性,5.2,3.8,
適任,5.6,3.4,
樂於,6.4,4.6,
邏輯,5.2,2.8,
有名,6.0,4.2,
可取,5.8,3.6,
調停,4.8,3.4,
讚許,6.6,5.4,
非凡,6.2,4.0,
奇異,5.2,4.4,
感人,6.2,5.4,
在乎,5.6,4.4,
遠見,6.2,3.8,
持久,5.6,4.0,
正規,5.8,3.2,
親近,6.2,3.8,
醫治,4.8,3.8,
人情,5.2,3.4,
穩定性,5.4,3.0,
難忘,5.2,4.2,
端正,5.6,3.6,
修理,4.8,3.8,
教養,5.6,3.6,
洋溢,6.2,4.6,
啟發,6.0,4.2,
討好,4.6,4.4,
廣闊,6.0,3.2,
禮貌,6.0,3.4,
負有,4.8,3.0,
明瞭,5.8,3.6,
如意,6.8,4.2,
吉祥,6.8,4.2,
自立,5.8,4.2,
晴朗,6.2,4.4,
調劑,5.0,2.8,
毅力,6.0,4.2,
精選,6.0,3.8,
親善,6.4,4.6,
勤奮,6.8,5.0,
微妙,5.4,3.2,
奮力,6.6,5.4,
奪魁,6.6,5.2,
決定性,5.4,4.6,
詳盡,5.6,3.4,
風度,6.0,3.6,
茁壯,6.4,4.8,
別緻,5.8,3.6,
特許,5.8,3.8,
安然,5.8,3.0,
知性,6.0,3.0,
求新,6.2,4.4,
安泰,6.2,3.6,
褒揚,6.2,5.2,
無誤,5.4,3.2,
遙遙領先,7.0,5.8,
多福,6.2,3.8,
歡慶,6.8,6.0,
稀少,5.0,3.6,
廉潔,5.8,3.2,
可貴,6.0,3.6,
熱中,6.4,5.4,
自助,5.6,3.8,
至上,6.0,3.6,
攻讀,5.8,4.4,
為榮,7.0,5.4,
恭喜,6.8,5.6,
吸引人,6.2,4.6,
正統,6.0,3.8,
消退,4.8,4.0,
清明,5.2,3.0,
才華,6.4,4.0,
根除,5.0,4.8,
關愛,6.2,4.0,
客氣,5.6,3.6,
狂歡,6.6,7.0,
同感,5.2,4.0,
永恆,6.0,3.8,
不懈,5.8,4.6,
調和,5.2,3.4,
謙虛,6.4,3.0,
奠基,6.0,3.4,
保釋,4.2,3.6,
學識,6.0,2.8,
積極性,6.2,5.4,
品味,5.6,4.0,
勝任,6.2,3.6,
逼真,5.6,4.4,
細膩,6.0,3.4,
盡情,5.8,4.8,
偏袒,3.6,4.8,
相容,5.4,3.2,
踏實,6.2,4.0,
流利,6.4,3.6,
固守,5.2,3.6,
致富,6.4,4.8,
有理,6.2,3.6,
進取,6.4,4.8,
智力,5.4,3.0,
解開,5.6,4.4,
升起,5.4,3.8,
安樂,5.6,3.4,
憧憬,5.8,3.4,
創造力,6.4,4.4,
忠貞,6.2,4.2,
天真,6.2,3.2,
不爭,4.4,3.4,
功德,6.4,3.6,
好感,6.0,4.0,
征服,5.2,5.6,
豁免,5.2,4.6,
貴族,5.4,2.8,
善於,6.0,4.0,
協作,6.0,3.8,
首肯,5.2,3.0,
吉利,6.8,3.8,
鬥志,6.8,5.8,
相等,5.2,3.0,
自白,5.0,3.2,
興盛,6.4,5.0,
完好,6.0,4.0,
名聲,5.6,3.2,
功績,6.2,3.8,
魔法,5.2,3.0,
出名,6.2,4.8,
可信,5.8,3.6,
光彩,6.6,4.2,
可喜,6.4,4.6,
堅固,6.0,3.0,
光芒,5.4,3.8,
遵從,5.4,4.2,
流暢,6.0,3.6,
熟練,5.8,3.4,
巧妙,5.8,3.6,
旗開得勝,7.2,5.8,
忍耐,4.6,4.4,
正確性,5.8,3.4,
好吃,6.4,4.4,
助手,5.2,3.0,
過癮,6.2,4.6,
精通,6.4,4.2,
白金,5.4,2.8,
贊成票,6.0,3.8,
激盪,5.6,6.0,
想像力,5.4,4.0,
愛上,6.4,4.8,
美感,6.2,3.8,
得力,5.8,3.8,
行善,6.8,4.2,
不凡,6.0,4.6,
不忍,4.4,4.2,
愉悅,6.6,4.6,
熱力,5.6,3.2,
萬能,6.4,4.2,
滿懷,5.6,3.8,
安康,6.4,3.4,
尊崇,6.6,4.2,
